ID;Fase;Prioridade;Tarefa;Estado;Responsavel;Dependencias;Validacao;Notas
3.1;Cutover WebCatalogue;Alta;Atualizar .env WebCatalogue para novo OpenCV/Gateway;Feito;;Gateway pronto;BASE_URL aponta para Rise-S;Scan 430 gerou OpenCV analysis pelo novo Gateway
3.2;Cutover WebCatalogue;Alta;Executar Optimize Clear no BO/System Tools;Feito;;.env atualizado;Config cache limpa;Obrigatorio apos alterar .env
3.3;Cutover WebCatalogue;Alta;Testar /recognition/quality com imagem real;Feito;;Gateway pronto;Resposta valida;Teste real devolveu ok true e scores
3.4;Cutover WebCatalogue;Alta;Testar /recognition/normalize com imagem real;Feito;;Quality OK;Imagem normalizada e debug gerados;Sessao 430 inclui opencv_normalized e opencv_debug
3.5;Cutover WebCatalogue;Alta;Testar scan WebCatalogue ponta a ponta;Feito;;Normalize OK;Sessao criada e candidatos avaliados;Sessao 430 matched Great Furnace MRD-282 com score 92.14
3.6;Cutover WebCatalogue;Media;Definir rollback rapido para VPS antiga;Pendente;;.env antigo conhecido;Rollback documentado;Guardar URL antiga
4.0;Benchmark academico;Alta;Criar tabelas para runs e resultados benchmark;Feito;;WebCatalogue DB;Migracao disponivel;Guarda sessao, captura, fluxo, timings, scores, imagens e payload tecnico
4.0a;Benchmark academico;Alta;Separar fluxos legacy, Rise-S base e Rise-S incremental;Feito;;Config .env;3 fluxos configuraveis;Fluxo 3 usa WEBCATALOGUE_RECOGNITION_INCREMENTAL_STAGE para identificar melhorias futuras
4.0b;Benchmark academico;Alta;Criar execucao manual por sessao no BO;Feito;;Sessao com captura;Botao Run benchmark disponivel;Cada scan pode ser testado nos 3 ambientes
4.0c;Benchmark academico;Media;Criar pagina de analise e detalhe benchmark;Feito;;Runs gravados;Lista/detalhe visiveis;Inclui metricas agregadas por fluxo e imagens normalizadas/debug
4.0d;Benchmark academico;Media;Exportar CSV academico;Feito;;Runs gravados;CSV descarregado;Base para graficos de 20 sessoes e relatorio academico
4.0e;Benchmark academico;Alta;Guardar tempos por chamada de servico;Feito;;Benchmark run;Tabela wc_recognition_benchmark_calls criada;Regista endpoint, HTTP status, client_time_ms, server_time_ms, gateway_time_ms, bytes, headers e erro
4.0f;Benchmark academico;Media;Exportar CSV de chamadas HTTP;Feito;;Chamadas gravadas;Calls CSV disponivel;Permite graficos por endpoint quality/normalize/markers/identifiers
4.1;Benchmark pos-migracao;Alta;Selecionar dataset de benchmark;Pendente;;Produtos/cartas reais;Dataset fechado;Incluir fotos boas, mas e ambiguas
4.2;Benchmark pos-migracao;Alta;Executar benchmark na VPS antiga se ainda ativa;Pendente;;Dataset pronto;Resultados base guardados;Top-1, top-3, falso positivo, latencia
4.3;Benchmark pos-migracao;Alta;Executar benchmark no Rise-S;Pendente;;Cutover testado;Resultados Rise-S guardados;Comparar com baseline
4.4;Benchmark pos-migracao;Alta;Comparar accuracy e latencia;Pendente;;Resultados dos dois ambientes;Relatorio validado;Decidir se pode fechar VPS
4.5;Benchmark pos-migracao;Media;Ajustar timeout e thresholds;Pendente;;Relatorio benchmark;Parametros atualizados;Evitar falsos positivos
4.6;Benchmark pos-migracao;Media;Guardar relatorio no repo/documentacao;Pendente;;Benchmark concluido;Documento criado;Base para proximas iteracoes
5.1;OCR Pipeline;Alta;Definir endpoint OCR WebCatalogue no Gateway;Pendente;;Gateway;Contrato de API definido;Ex: /api/webcatalogue/ocr/product-image
5.2;OCR Pipeline;Alta;Integrar PaddleOCR como principal;Pendente;;PaddleOCR container;Texto extraido de imagem teste;Lang por+eng
5.3;OCR Pipeline;Media;Integrar Tesseract como fallback;Pendente;;Tesseract instalado;Fallback testado;Usar quando PaddleOCR falhar
5.4;OCR Pipeline;Alta;Extrair campos relevantes;Pendente;;OCR funcional;SKU/EAN/referencia/nome/collector number extraidos;Guardar bruto e normalizado
5.5;OCR Pipeline;Alta;Guardar OCR em metadata da sessao/capture;Pendente;;WebCatalogue update;Metadata visivel no BO;Auditoria
5.6;OCR Pipeline;Media;Usar OCR para desempatar candidatos;Pendente;;OCR metadata;Top candidates melhorados;Comecar com regras simples
6.1;AI Visual Qwen2.5-VL;Alta;Instalar/configurar Qwen2.5-VL no Rise-S;Pendente;;Ollama/servico multimodal;Modelo responde com imagem teste;Servidor confirmado como capaz
6.2;AI Visual Qwen2.5-VL;Alta;Criar endpoint validate-candidates;Pendente;;Qwen2.5-VL pronto;Endpoint responde JSON;Ex: /api/webcatalogue/vision/validate-candidates
6.3;AI Visual Qwen2.5-VL;Alta;Definir criterio para chamar AI visual;Pendente;;Pipeline atual;Regras documentadas;Usar apenas casos ambiguos inicialmente
6.4;AI Visual Qwen2.5-VL;Media;Enviar imagem normalizada e top candidatos para AI;Pendente;;Endpoint pronto;Payload aceite;Evitar imagens demasiado grandes
6.5;AI Visual Qwen2.5-VL;Media;Receber decisao visual auditavel;Pendente;;Endpoint pronto;decision/confidence/reason recebidos;accept, review, reject, retry_photo
6.6;AI Visual Qwen2.5-VL;Media;Medir custo/latencia da AI visual;Pendente;;Testes reais;Latencia registada;Garantir que nao bloqueia utilizador sem necessidade
7.1;AI Decisao;Alta;Criar endpoint recognition/decision;Pendente;;Gateway;Contrato API definido;Recebe scores, OCR, qualidade e candidatos
7.2;AI Decisao;Media;Escolher modelo de decisao textual;Pendente;;Modelos Rise-S;Modelo definido;DeepSeek Distill ou Qwen
7.3;AI Decisao;Alta;Implementar decisao accept/review/retry/lead;Pendente;;Endpoint criado;Resposta estruturada;Laravel continua dono da decisao final
7.4;AI Decisao;Media;Gerar explicacao curta da decisao;Pendente;;Endpoint criado;Reason legivel;Util para BO e auditoria
7.5;AI Decisao;Media;Aplicar guardrails contra auto-aceitacao arriscada;Pendente;;Thresholds definidos;Falsos positivos reduzidos;AI nao deve aceitar sem sinais fortes
8.1;BO Auditoria;Alta;Mostrar OCR no detalhe da sessao;Pendente;;OCR metadata;Texto visivel no BO;Com bruto e campos extraidos
8.2;BO Auditoria;Alta;Mostrar decisao AI no detalhe da sessao;Pendente;;AI decision metadata;Decision/confidence/reason visiveis;Sem expor prompts sensiveis
8.3;BO Auditoria;Media;Mostrar latencia por etapa;Pendente;;Gateway logs/metadata;Tempos por OpenCV/OCR/AI;Ajuda performance
8.4;BO Auditoria;Media;Adicionar filtros de revisao;Pendente;;Metadata disponivel;Filtros funcionam;Baixa confianca, OCR mismatch, AI review
8.5;BO Auditoria;Alta;Guardar ground truth manual;Pendente;;UI existente;Ground truth persiste;Base para benchmark
8.6;BO Auditoria;Media;Exportar dataset de sessoes para benchmark;Pendente;;Ground truth;CSV/ZIP gerado;Usado em relatorios
9.1;Fingerprints e markers;Alta;Rebuild fingerprints por store;Pendente;;Produtos/imagens prontos;wc_resource_fingerprints atualizado;Executar por BO/comando
9.2;Fingerprints e markers;Alta;Sync/rebuild visual markers por store;Pendente;;OpenCV Rise-S;Markers completos;Usado por ORB
9.3;Fingerprints e markers;Media;Validar scheduler diario;Pendente;;Queue/scheduler;Job corre no horario;Evitar drift de dados
9.4;Fingerprints e markers;Media;Monitorizar falhas de rebuild;Pendente;;Logs;Falhas visiveis;Criar alerta se necessario
10.1;Operacao Rise-S;Alta;Criar health checks Gateway/OpenCV/OCR/Qdrant/Ollama;Pendente;;Servicos ativos;Health central responde;Dashboard futuro
10.2;Operacao Rise-S;Media;Criar alertas para falhas criticas;Pendente;;Health checks;Alertas enviados;Email/Discord/n8n
10.3;Operacao Rise-S;Media;Documentar backup do stack AI;Pendente;;Scripts backup;Backup testado;Ja existe doc base
10.4;Operacao Rise-S;Media;Documentar restore manual;Pendente;;Backup definido;Procedimento escrito;Nao expor restore no BO nesta fase
10.5;Operacao WebCatalogue;Alta;Documentar rotina pos-deploy;Pendente;;System Tools;Checklist operacional validada;Optimize Clear, deps frontend se necessario, Build Assets
11.1;Fecho VPS antiga;Alta;Confirmar que nao ha outras dependencias na VPS;Pendente;;Inventario VPS;Nada critico restante;Antes de cancelar
11.2;Fecho VPS antiga;Alta;Guardar backup final da VPS;Pendente;;Acesso VPS;Backup arquivado;Codigo/config/logs essenciais
11.3;Fecho VPS antiga;Alta;Manter VPS em standby alguns dias apos cutover;Pendente;;Rise-S em producao;Sem incidentes;Periodo de observacao
11.4;Fecho VPS antiga;Alta;Remover IP antigo de todos os .env/docs;Pendente;;Cutover final;Sem referencias ao IP antigo;Evita regressao
11.5;Fecho VPS antiga;Alta;Cancelar VPS antiga;Pendente;;Validacao final;VPS desligada/cancelada;Reduz custo
